x,y,z,angle,azimuth,elevation,julianDate,dateTime,zoneOffset,incT,incS,irrT,irrS
41,83,614,10,131,-18,2459586.75,2022-01-07T00:00:00.000-06:00,-360,108,36,0,0.813
41,83,614,10,146,-17,2459586.79,2022-01-07T01:00:00.000-06:00,-360,107,48,0,0.667
