x,y,z,angle,azimuth,elevation,julianDate,dateTime,zoneOffset,incT,incS,irrT,irrS
41,83,614,10,112,26,2459766.71,2022-07-06T00:00:00.000-05:00,-300,64,28,0.431,0.883
41,83,614,10,127,27,2459766.75,2022-07-06T01:00:00.000-05:00,-300,63,38,0.455,0.791
