x,y,z,angle,azimuth,elevation,julianDate,dateTime,zoneOffset,incT,incS,irrT,irrS
41,83,614,10,131,-18,2459587.75,2022-01-08T00:00:00.000-06:00,-360,108,35,0,0.814
41,83,614,10,146,-16,2459587.79,2022-01-08T01:00:00.000-06:00,-360,106,48,0,0.669
