x,y,z,angle,azimuth,elevation,julianDate,dateTime,zoneOffset,incT,incS,irrT,irrS
41,83,614,10,131,-18,2459588.75,2022-01-09T00:00:00.000-06:00,-360,108,35,0,0.816
41,83,614,10,146,-16,2459588.79,2022-01-09T01:00:00.000-06:00,-360,106,48,0,0.671
