x,y,z,angle,azimuth,elevation,julianDate,dateTime,zoneOffset,incT,incS,irrT,irrS
41,83,614,10,112,26,2459757.71,2022-06-27T00:00:00.000-05:00,-300,64,29,0.441,0.877
41,83,614,10,128,28,2459757.75,2022-06-27T01:00:00.000-05:00,-300,62,38,0.466,0.784
