x,y,z,angle,azimuth,elevation,julianDate,dateTime,zoneOffset,incT,incS,irrT,irrS
41,83,614,10,130,-16,2459597.75,2022-01-18T00:00:00.000-06:00,-360,106,34,0,0.83
41,83,614,10,145,-15,2459597.79,2022-01-18T01:00:00.000-06:00,-360,105,47,0,0.687
