x,y,z,angle,azimuth,elevation,julianDate,dateTime,zoneOffset,incT,incS,irrT,irrS
41,83,614,10,112,26,2459765.71,2022-07-05T00:00:00.000-05:00,-300,64,28,0.432,0.882
41,83,614,10,127,27,2459765.75,2022-07-05T01:00:00.000-05:00,-300,63,38,0.457,0.79
