x,y,z,angle,azimuth,elevation,julianDate,dateTime,zoneOffset,incT,incS,irrT,irrS
41,83,614,10,131,-17,2459592.75,2022-01-13T00:00:00.000-06:00,-360,107,35,0,0.822
41,83,614,10,145,-16,2459592.79,2022-01-13T01:00:00.000-06:00,-360,106,47,0,0.678
