x,y,z,angle,azimuth,elevation,julianDate,dateTime,zoneOffset,incT,incS,irrT,irrS
41,83,614,10,131,-17,2459590.75,2022-01-11T00:00:00.000-06:00,-360,107,35,0,0.819
41,83,614,10,145,-16,2459590.79,2022-01-11T01:00:00.000-06:00,-360,106,48,0,0.674
