x,y,z,angle,azimuth,elevation,julianDate,dateTime,zoneOffset,incT,incS,irrT,irrS
41,83,614,10,112,26,2459762.71,2022-07-02T00:00:00.000-05:00,-300,64,28,0.436,0.88
41,83,614,10,127,27,2459762.75,2022-07-02T01:00:00.000-05:00,-300,63,38,0.461,0.788
