x,y,z,angle,azimuth,elevation,julianDate,dateTime,zoneOffset,incT,incS,irrT,irrS
41,83,614,10,131,-17,2459594.75,2022-01-15T00:00:00.000-06:00,-360,107,34,0,0.825
41,83,614,10,145,-15,2459594.79,2022-01-15T01:00:00.000-06:00,-360,105,47,0,0.682
