date,min,max,mean,median,std
2022-01-01,0,1,0.6387787712700657,0.733,0.30792014991046834
2022-01-02,0,1,0.6385130926920575,0.733,0.30778509935369547
2022-01-03,0,1,0.6388480067952746,0.733,0.30733086500469253
2022-01-04,0,1,0.6404310058661298,0.736,0.3058094801278135
2022-01-05,0,1,0.6445350900995646,0.745,0.30446372360401336
2022-01-06,0,1,0.6441808870180857,0.745,0.30389031984202675
2022-01-07,0,1,0.6453030676756388,0.747,0.30300361051270785
2022-01-08,0,1,0.6450933654169292,0.746,0.30277342632094945
2022-01-09,0,1,0.6449514926266097,0.745,0.30253787248996844
2022-01-10,0,1,0.6448236980039636,0.745,0.3022919414265705
2022-01-11,0,1,0.6446489866966737,0.744,0.3020033074688004
2022-01-12,0,1,0.6444783781198091,0.743,0.301698754009812
2022-01-13,0,1,0.6443150461413393,0.743,0.30137284088594923
2022-01-14,0,1,0.644001517287539,0.742,0.3010373735030195
2022-01-15,0,1,0.6437627800628631,0.742,0.3006670904330004
2022-01-16,0,1,0.6436414226664676,0.741,0.30027164228925635
2022-01-17,0,1,0.643319422934845,0.74,0.29991150161889624
2022-01-18,0,1,0.6429969056091609,0.739,0.29953330351244356
2022-01-19,0,1,0.6427943382545587,0.738,0.2991042442692637
2022-01-20,0,1,0.6423684169906809,0.736,0.2986348124943413
