x,y,z,angle,azimuth,elevation,julianDate,dateTime,zoneOffset,incT,incS,irrT,irrS
41,83,614,10,131,-17,2459589.75,2022-01-10T00:00:00.000-06:00,-360,107,35,0,0.817
41,83,614,10,146,-16,2459589.79,2022-01-10T01:00:00.000-06:00,-360,106,48,0,0.673
