x,y,z,angle,azimuth,elevation,julianDate,dateTime,zoneOffset,incT,incS,irrT,irrS
41,83,614,10,112,26,2459763.71,2022-07-03T00:00:00.000-05:00,-300,64,28,0.435,0.881
41,83,614,10,127,27,2459763.75,2022-07-03T01:00:00.000-05:00,-300,63,38,0.46,0.789
