x,y,z,angle,azimuth,elevation,julianDate,dateTime,zoneOffset,incT,incS,irrT,irrS
41,83,614,10,113,26,2459750.71,2022-06-20T00:00:00.000-05:00,-300,64,29,0.444,0.874
41,83,614,10,128,28,2459750.75,2022-06-20T01:00:00.000-05:00,-300,62,39,0.468,0.78
