x,y,z,angle,azimuth,elevation,julianDate,dateTime,zoneOffset,incT,incS,irrT,irrS
41,83,614,10,131,-17,2459591.75,2022-01-12T00:00:00.000-06:00,-360,107,35,0,0.821
41,83,614,10,145,-16,2459591.79,2022-01-12T01:00:00.000-06:00,-360,106,47,0,0.676
