x,y,z,angle,azimuth,elevation,julianDate,dateTime,zoneOffset,incT,incS,irrT,irrS
41,83,614,10,112,26,2459759.71,2022-06-29T00:00:00.000-05:00,-300,64,29,0.44,0.878
41,83,614,10,128,28,2459759.75,2022-06-29T01:00:00.000-05:00,-300,62,38,0.464,0.785
