x,y,z,angle,azimuth,elevation,julianDate,dateTime,zoneOffset,incT,incS,irrT,irrS
41,83,614,10,112,26,2459753.71,2022-06-23T00:00:00.000-05:00,-300,64,29,0.443,0.875
41,83,614,10,128,28,2459753.75,2022-06-23T01:00:00.000-05:00,-300,62,39,0.468,0.782
